team,coach,no,pos,name,caps,goals,club,clubnat
Sweden,Janne Andersson,3,DF,Victor Lindelöf,21,1,Manchester United,ENG
Sweden,Janne Andersson,4,DF,Andreas Granqvist,72,6,Krasnodar,RUS
Sweden,Janne Andersson,5,DF,Martin Olsson,43,5,Swansea City,WAL
Sweden,Janne Andersson,6,DF,Ludwig Augustinsson,15,0,Werder Bremen,GER
Sweden,Janne Andersson,7,MF,Sebastian Larsson,100,6,Hull City,ENG
Sweden,Janne Andersson,8,MF,Albin Ekdal,34,0,Hamburger SV,GER
Sweden,Janne Andersson,9,FW,Marcus Berg,57,18,Al Ain,UAE
Sweden,Janne Andersson,10,MF,Emil Forsberg,36,6,RB Leipzig,GER
Sweden,Janne Andersson,11,FW,John Guidetti,20,1,Alavés,ESP
Sweden,Janne Andersson,12,GK,Karl-Johan Johnsson,5,0,Guingamp,FRA
Sweden,Janne Andersson,13,MF,Gustav Svensson,13,0,Seattle Sounders FC,USA
Sweden,Janne Andersson,14,DF,Filip Helander,4,0,Bologna,ITA
Sweden,Janne Andersson,15,MF,Oscar Hiljemark,22,2,Genoa,ITA
Sweden,Janne Andersson,16,DF,Emil Krafth,13,0,Bologna,ITA
Sweden,Janne Andersson,17,MF,Viktor Claesson,22,3,Krasnodar,RUS
Sweden,Janne Andersson,18,DF,Pontus Jansson,15,0,Leeds United,ENG
Sweden,Janne Andersson,19,MF,Marcus Rohdén,12,1,Crotone,ITA
Sweden,Janne Andersson,20,FW,Ola Toivonen,59,13,Toulouse,FRA
Sweden,Janne Andersson,21,MF,Jimmy Durmaz,45,3,Toulouse,FRA
Sweden,Janne Andersson,22,FW,Isaac Kiese Thelin,20,2,Waasland-Beveren,BEL
Sweden,Janne Andersson,23,GK,Kristoffer Nordfeldt,8,0,Swansea City,WAL
Belgium,Roberto Martínez,1,GK,Thibaut Courtois,58,0,Chelsea,ENG
Belgium,Roberto Martínez,2,DF,Toby Alderweireld,77,3,Tottenham Hotspur,ENG
Belgium,Roberto Martínez,3,DF,Thomas Vermaelen,66,1,Barcelona,ESP
Belgium,Roberto Martínez,4,DF,Vincent Kompany,77,4,Manchester City,ENG
Belgium,Roberto Martínez,5,DF,Jan Vertonghen,102,8,Tottenham Hotspur,ENG
Belgium,Roberto Martínez,6,MF,Axel Witsel,90,9,Tianjin Quanjian,CHN
Belgium,Roberto Martínez,7,MF,Kevin De Bruyne,62,14,Manchester City,ENG
Belgium,Roberto Martínez,8,MF,Marouane Fellaini,82,17,Manchester United,ENG
Belgium,Roberto Martínez,9,FW,Romelu Lukaku,69,36,Manchester United,ENG
Belgium,Roberto Martínez,10,FW,Eden Hazard,86,22,Chelsea,ENG
Belgium,Roberto Martínez,11,MF,Yannick Carrasco,26,5,Dalian Yifang,CHN
Belgium,Roberto Martínez,12,GK,Simon Mignolet,21,0,Liverpool,ENG
Belgium,Roberto Martínez,13,GK,Koen Casteels,0,0,VfL Wolfsburg,GER
Belgium,Roberto Martínez,14,FW,Dries Mertens,69,14,Napoli,ITA
Belgium,Roberto Martínez,15,DF,Thomas Meunier,25,5,Paris Saint-Germain,FRA
Belgium,Roberto Martínez,16,MF,Thorgan Hazard,11,1,Borussia Mönchengladbach,GER
Belgium,Roberto Martínez,17,MF,Youri Tielemans,9,0,Monaco,FRA
Belgium,Roberto Martínez,18,FW,Adnan Januzaj,8,0,Real Sociedad,ESP
Belgium,Roberto Martínez,19,MF,Mousa Dembélé,76,5,Tottenham Hotspur,ENG
Belgium,Roberto Martínez,20,DF,Dedryck Boyata,7,0,Celtic,SCO
Belgium,Roberto Martínez,21,FW,Michy Batshuayi,16,7,Borussia Dortmund,GER
Belgium,Roberto Martínez,22,MF,Nacer Chadli,45,5,West Bromwich Albion,ENG
Belgium,Roberto Martínez,23,DF,Leander Dendoncker,5,0,Anderlecht,BEL
England,Gareth Southgate,1,GK,Jordan Pickford,3,0,Everton,ENG
England,Gareth Southgate,2,DF,Kyle Walker,35,0,Manchester City,ENG
England,Gareth Southgate,3,DF,Danny Rose,18,0,Tottenham Hotspur,ENG
England,Gareth Southgate,4,MF,Eric Dier,26,3,Tottenham Hotspur,ENG
England,Gareth Southgate,5,DF,John Stones,26,0,Manchester City,ENG
England,Gareth Southgate,6,DF,Harry Maguire,5,0,Leicester City,ENG
England,Gareth Southgate,7,MF,Jesse Lingard,12,1,Manchester United,ENG
England,Gareth Southgate,8,MF,Jordan Henderson,39,0,Liverpool,ENG
England,Gareth Southgate,9,FW,Harry Kane,24,13,Tottenham Hotspur,ENG
England,Gareth Southgate,10,FW,Raheem Sterling,38,2,Manchester City,ENG
England,Gareth Southgate,11,FW,Jamie Vardy,22,7,Leicester City,ENG
England,Gareth Southgate,12,DF,Kieran Trippier,7,0,Tottenham Hotspur,ENG
England,Gareth Southgate,13,GK,Jack Butland,8,0,Stoke City,ENG
England,Gareth Southgate,14,FW,Danny Welbeck,39,16,Arsenal,ENG
England,Gareth Southgate,15,DF,Gary Cahill,60,5,Chelsea,ENG
England,Gareth Southgate,16,DF,Phil Jones,25,0,Manchester United,ENG
England,Gareth Southgate,17,DF,Fabian Delph,11,0,Manchester City,ENG
England,Gareth Southgate,18,DF,Ashley Young,34,7,Manchester United,ENG
England,Gareth Southgate,19,FW,Marcus Rashford,19,3,Manchester United,ENG
England,Gareth Southgate,20,MF,Dele Alli,25,2,Tottenham Hotspur,ENG
England,Gareth Southgate,21,MF,Ruben Loftus-Cheek,4,0,Crystal Palace,ENG
England,Gareth Southgate,22,DF,Trent Alexander-Arnold,1,0,Liverpool,ENG
England,Gareth Southgate,23,GK,Nick Pope,1,0,Burnley,ENG
Panama,Hernán Darío Gómez,1,GK,Jaime Penedo,131,0,Dinamo București,ROU
Panama,Hernán Darío Gómez,2,DF,Michael Amir Murillo,22,2,New York Red Bulls,USA
Panama,Hernán Darío Gómez,3,DF,Harold Cummings,52,0,San Jose Earthquakes,USA
Panama,Hernán Darío Gómez,4,DF,Fidel Escobar,23,1,New York Red Bulls,USA
Panama,Hernán Darío Gómez,5,DF,Román Torres,111,10,Seattle Sounders FC,USA
Panama,Hernán Darío Gómez,6,MF,Gabriel Gómez,144,12,Atlético Bucaramanga,COL
Panama,Hernán Darío Gómez,7,FW,Blas Pérez,118,43,Municipal,GUA
Panama,Hernán Darío Gómez,8,MF,Yoel Bárcenas,29,0,Tapachula,MEX
Panama,Hernán Darío Gómez,9,FW,Gabriel Torres,72,14,Huachipato,CHI
Panama,Hernán Darío Gómez,10,FW,Ismael Díaz,11,2,Deportivo Fabril,ESP
Panama,Hernán Darío Gómez,11,MF,Armando Cooper,98,7,Universidad de Chile,CHI
Panama,Hernán Darío Gómez,12,GK,José Calderón,31,0,Chorrillo,PAN
Panama,Hernán Darío Gómez,13,DF,Adolfo Machado,76,1,Houston Dynamo,USA
Panama,Hernán Darío Gómez,14,MF,Valentín Pimentel,23,1,Plaza Amador,PAN
Panama,Hernán Darío Gómez,15,DF,Eric Davis,38,0,Dunajská Streda,SVK
Panama,Hernán Darío Gómez,16,FW,Abdiel Arroyo,33,5,Alajuelense,CRC
Panama,Hernán Darío Gómez,17,DF,Luis Ovalle,25,0,CD Olimpia,HON
Panama,Hernán Darío Gómez,18,FW,Luis Tejada,105,43,Sport Boys,PER
Panama,Hernán Darío Gómez,19,MF,Ricardo Ávila,5,0,Gent,BEL
Panama,Hernán Darío Gómez,20,MF,Aníbal Godoy,88,1,San Jose Earthquakes,USA
Panama,Hernán Darío Gómez,21,MF,José Luis Rodríguez,2,0,Gent,BEL
Panama,Hernán Darío Gómez,22,GK,Álex Rodríguez,6,0,San Francisco,PAN
Panama,Hernán Darío Gómez,23,DF,Felipe Baloy,102,3,Municipal,GUA
Tunisia,Nabil Maâloul,1,GK,Farouk Ben Mustapha,15,0,Al Shabab,KSA
Tunisia,Nabil Maâloul,2,DF,Syam Ben Youssef,42,1,Kasımpaşa,TUR
Tunisia,Nabil Maâloul,3,DF,Yohan Benalouane,4,0,Leicester City,ENG
Tunisia,Nabil Maâloul,4,DF,Yassine Meriah,16,1,CS Sfaxien,TUN
Tunisia,Nabil Maâloul,5,DF,Oussama Haddadi,9,0,Dijon,FRA
Tunisia,Nabil Maâloul,6,DF,Rami Bedoui,8,0,Étoile du Sahel,TUN
Tunisia,Nabil Maâloul,7,FW,Saîf-Eddine Khaoui,5,0,Troyes,FRA
Tunisia,Nabil Maâloul,8,FW,Fakhreddine Ben Youssef,39,5,Al-Ettifaq,KSA
Tunisia,Nabil Maâloul,9,MF,Anice Badri,7,2,Espérance de Tunis,TUN
Tunisia,Nabil Maâloul,10,FW,Wahbi Khazri,35,12,Rennes,FRA
Tunisia,Nabil Maâloul,11,DF,Dylan Bronn,5,0,Gent,BEL
Tunisia,Nabil Maâloul,12,DF,Ali Maâloul,46,0,Al Ahly,EGY
Tunisia,Nabil Maâloul,13,MF,Ferjani Sassi,39,3,Al Nassr,KSA
Tunisia,Nabil Maâloul,14,MF,Mohamed Amine Ben Amor,26,1,Al Ahli,KSA
Tunisia,Nabil Maâloul,15,FW,Ahmed Khalil,3,0,Club Africain,TUN
Tunisia,Nabil Maâloul,16,GK,Aymen Mathlouthi,70,0,Al Batin,KSA
Tunisia,Nabil Maâloul,17,MF,Ellyes Skhiri,5,0,Montpellier,FRA
Tunisia,Nabil Maâloul,18,FW,Bassem Srarfi,5,0,Nice,FRA
Tunisia,Nabil Maâloul,19,FW,Saber Khalifa,44,7,Club Africain,TUN
Tunisia,Nabil Maâloul,20,FW,Ghailene Chaalali,6,1,Espérance de Tunis,TUN
Tunisia,Nabil Maâloul,21,DF,Hamdi Nagguez,15,0,Zamalek,EGY
Tunisia,Nabil Maâloul,22,GK,Mouez Hassen,3,0,Châteauroux,FRA
Tunisia,Nabil Maâloul,23,FW,Naïm Sliti,17,3,Dijon,FRA
Colombia,José Pékerman,1,GK,David Ospina,86,0,Arsenal,ENG
Colombia,José Pékerman,2,DF,Cristián Zapata,55,2,Milan,ITA
Colombia,José Pékerman,3,DF,Óscar Murillo,13,0,Pachuca,MEX
Colombia,José Pékerman,4,DF,Santiago Arias,41,0,PSV Eindhoven,NED
Colombia,José Pékerman,5,MF,Wilmar Barrios,10,0,Boca Juniors,ARG
Colombia,José Pékerman,6,MF,Carlos Sánchez,85,0,Espanyol,ESP
Colombia,José Pékerman,7,FW,Carlos Bacca,45,14,Villarreal,ESP
Colombia,José Pékerman,8,MF,Abel Aguilar,70,7,Deportivo Cali,COL
Colombia,José Pékerman,9,FW,Radamel Falcao,73,29,Monaco,FRA
Colombia,José Pékerman,10,MF,James Rodríguez,63,21,Bayern Munich,GER
Colombia,José Pékerman,11,MF,Juan Cuadrado,70,7,Juventus,ITA
Colombia,José Pékerman,12,GK,Camilo Vargas,5,0,Deportivo Cali,COL
Colombia,José Pékerman,13,DF,Yerry Mina,12,3,Barcelona,ESP
Colombia,José Pékerman,14,FW,Luis Muriel,18,2,Sevilla,ESP
Colombia,José Pékerman,15,MF,Mateus Uribe,8,0,América,MEX
Colombia,José Pékerman,16,MF,Jefferson Lerma,5,0,Levante,ESP
Colombia,José Pékerman,17,DF,Johan Mojica,4,1,Girona,ESP
Colombia,José Pékerman,18,DF,Farid Díaz,13,0,Olimpia,PAR
Colombia,José Pékerman,19,FW,Miguel Borja,7,2,Palmeiras,BRA
Colombia,José Pékerman,20,MF,Juan Fernando Quintero,15,2,River Plate,ARG
Colombia,José Pékerman,21,FW,José Izquierdo,5,1,Brighton & Hove Albion,ENG
Colombia,José Pékerman,22,GK,José Fernando Cuadrado,1,0,Once Caldas,COL
Colombia,José Pékerman,23,DF,Davinson Sánchez,9,0,Tottenham Hotspur,ENG
Japan,Akira Nishino,1,GK,Eiji Kawashima,84,0,Metz,FRA
Japan,Akira Nishino,2,DF,Naomichi Ueda,4,0,Kashima Antlers,JPN
Japan,Akira Nishino,3,DF,Gen Shoji,11,1,Kashima Antlers,JPN
Japan,Akira Nishino,4,MF,Keisuke Honda,95,36,Pachuca,MEX
Japan,Akira Nishino,5,DF,Yūto Nagatomo,105,3,Galatasaray,TUR
Japan,Akira Nishino,6,DF,Wataru Endō,12,0,Urawa Red Diamonds,JPN
Japan,Akira Nishino,7,MF,Gaku Shibasaki,18,3,Getafe,ESP
Japan,Akira Nishino,8,MF,Genki Haraguchi,33,6,Fortuna Düsseldorf,GER
Japan,Akira Nishino,9,FW,Shinji Okazaki,113,50,Leicester City,ENG
Japan,Akira Nishino,10,MF,Shinji Kagawa,92,30,Borussia Dortmund,GER
Japan,Akira Nishino,11,MF,Takashi Usami,24,3,Fortuna Düsseldorf,GER
Japan,Akira Nishino,12,GK,Masaaki Higashiguchi,5,0,Gamba Osaka,JPN
Japan,Akira Nishino,13,FW,Yoshinori Muto,24,2,Mainz 05,GER
Japan,Akira Nishino,14,MF,Takashi Inui,27,4,Eibar,ESP
Japan,Akira Nishino,15,FW,Yuya Osako,29,7,1. FC Köln,GER
Japan,Akira Nishino,16,MF,Hotaru Yamaguchi,42,2,Cerezo Osaka,JPN
Japan,Akira Nishino,17,MF,Makoto Hasebe,110,2,Eintracht Frankfurt,GER
Japan,Akira Nishino,18,MF,Ryota Oshima,5,0,Kawasaki Frontale,JPN
Japan,Akira Nishino,19,DF,Hiroki Sakai,43,0,Marseille,FRA
Japan,Akira Nishino,20,DF,Tomoaki Makino,32,4,Urawa Red Diamonds,JPN
Japan,Akira Nishino,21,DF,Gōtoku Sakai,41,0,Hamburger SV,GER
Japan,Akira Nishino,22,DF,Maya Yoshida,82,10,Southampton,ENG
Japan,Akira Nishino,23,GK,Kosuke Nakamura,4,0,Kashiwa Reysol,JPN
Poland,Adam Nawałka,1,GK,Wojciech Szczęsny,35,0,Juventus,ITA
Poland,Adam Nawałka,2,DF,Michał Pazdan,33,0,Legia Warsaw,POL
Poland,Adam Nawałka,3,DF,Artur Jędrzejczyk,36,3,Legia Warsaw,POL
Poland,Adam Nawałka,4,DF,Thiago Cionek,19,0,SPAL,ITA
Poland,Adam Nawałka,5,DF,Jan Bednarek,3,0,Southampton,ENG
Poland,Adam Nawałka,6,MF,Jacek Góralski,5,0,Ludogorets Razgrad,BUL
Poland,Adam Nawałka,7,FW,Arkadiusz Milik,40,12,Napoli,ITA
Poland,Adam Nawałka,8,MF,Karol Linetty,20,1,Sampdoria,ITA
Poland,Adam Nawałka,9,FW,Robert Lewandowski,95,55,Bayern Munich,GER
Poland,Adam Nawałka,10,MF,Grzegorz Krychowiak,51,2,West Bromwich Albion,ENG
Poland,Adam Nawałka,11,MF,Kamil Grosicki,57,12,Hull City,ENG
Poland,Adam Nawałka,12,GK,Bartosz Białkowski,1,0,Ipswich Town,ENG
Poland,Adam Nawałka,13,MF,Maciej Rybus,51,2,Lokomotiv Moscow,RUS
Poland,Adam Nawałka,14,FW,Łukasz Teodorczyk,17,4,Anderlecht,BEL
Poland,Adam Nawałka,15,DF,Kamil Glik,57,4,Monaco,FRA
Poland,Adam Nawałka,16,MF,Jakub Błaszczykowski,99,20,VfL Wolfsburg,GER
Poland,Adam Nawałka,17,MF,Sławomir Peszko,43,2,Lechia Gdańsk,POL
Poland,Adam Nawałka,18,DF,Bartosz Bereszyński,8,0,Sampdoria,ITA
Poland,Adam Nawałka,19,MF,Piotr Zieliński,33,5,Napoli,ITA
Poland,Adam Nawałka,20,DF,Łukasz Piszczek,63,3,Borussia Dortmund,GER
Poland,Adam Nawałka,21,MF,Rafał Kurzawa,3,0,Górnik Zabrze,POL
Poland,Adam Nawałka,22,GK,Łukasz Fabiański,45,0,Swansea City,WAL
Poland,Adam Nawałka,23,FW,Dawid Kownacki,2,1,Sampdoria,ITA
Senegal,Aliou Cissé,1,GK,Abdoulaye Diallo,17,0,Rennes,FRA
Senegal,Aliou Cissé,2,DF,Adama Mbengue,6,0,Caen,FRA
Senegal,Aliou Cissé,3,DF,Kalidou Koulibaly,26,0,Napoli,ITA
Senegal,Aliou Cissé,4,DF,Kara Mbodji,52,5,Anderlecht,BEL
Senegal,Aliou Cissé,5,MF,Idrissa Gueye,61,1,Everton,ENG
Senegal,Aliou Cissé,6,DF,Salif Sané,22,0,Hannover 96,GER
Senegal,Aliou Cissé,7,FW,Moussa Sow,51,18,Bursaspor,TUR
Senegal,Aliou Cissé,8,MF,Cheikhou Kouyaté,48,2,West Ham United,ENG
Senegal,Aliou Cissé,9,FW,Mame Biram Diouf,49,10,Stoke City,ENG
Senegal,Aliou Cissé,10,FW,Sadio Mané,53,14,Liverpool,ENG
Senegal,Aliou Cissé,11,MF,Cheikh N'Doye,26,3,Birmingham City,ENG
Senegal,Aliou Cissé,12,DF,Youssouf Sabaly,5,0,Bordeaux,FRA
Senegal,Aliou Cissé,13,MF,Alfred N'Diaye,21,0,Wolverhampton Wanderers,ENG
Senegal,Aliou Cissé,14,FW,Moussa Konaté,28,10,Amiens,FRA
Senegal,Aliou Cissé,15,FW,Diafra Sakho,12,3,Rennes,FRA
Senegal,Aliou Cissé,16,GK,Khadim N'Diaye,26,0,Horoya,GUI
Senegal,Aliou Cissé,17,MF,Badou Ndiaye,20,1,Stoke City,ENG
Senegal,Aliou Cissé,18,FW,Ismaïla Sarr,16,3,Rennes,FRA
Senegal,Aliou Cissé,19,FW,M'Baye Niang,7,0,Torino,ITA
Senegal,Aliou Cissé,20,FW,Keita Baldé,19,3,Monaco,FRA
Senegal,Aliou Cissé,21,DF,Lamine Gassama,36,0,Alanyaspor,TUR
Senegal,Aliou Cissé,22,DF,Moussa Wagué,10,0,Eupen,BEL
Senegal,Aliou Cissé,23,GK,Alfred Gomis,1,0,SPAL,ITA
